opp_id,account_id,region,stage,close_date,amount,currency
OPP-00001,C0113,Export,Closed Won,2025-01-09,42224.55,EUR
OPP-00002,C0036,Export,Closed Won,2025-07-24,14549.23,EUR
OPP-00003,C0086,Central,Closed Lost,2025-10-05,19169.61,GBP
OPP-00004,C0117,South,Closed Won,2025-04-16,68608.98,USD
OPP-00005,C0116,South,Closed Won,2025-12-19,30442.7,EUR
OPP-00006,C0087,Export,Closed Won,2025-02-01,100086.61,EUR
OPP-00007,C0089,Central,Closed Won,2025-10-20,33554.41,EUR
OPP-00008,C0035,North,Closed Lost,2025-10-15,24007.8,EUR
OPP-00009,C0028,South,Closed Won,2025-12-27,126466.08,EUR
OPP-00010,C0045,Export,Closed Won,2025-02-19,7860.38,EUR
OPP-00011,C0030,North,Closed Won,2025-12-24,97327.75,EUR
OPP-00012,C0008,North,Closed Won,2025-05-05,90227.39,EUR
OPP-00013,C0018,South,Open,2025-08-06,20675.21,EUR
OPP-00014,C0070,North,Closed Won,2025-02-16,22326.48,EUR
OPP-00015,C0100,North,Closed Won,2025-01-16,29995.44,EUR
OPP-00016,C0119,South,Closed Lost,2025-07-25,33575.3,EUR
OPP-00017,C0103,Export,Closed Won,2025-11-08,116450.06,EUR
OPP-00018,C0050,Central,Closed Won,2025-01-12,32299.61,EUR
OPP-00019,C0101,Export,Closed Won,2025-05-29,7933.03,USD
OPP-00020,C0109,North,Open,2025-04-25,32357.53,EUR
OPP-00021,C0076,South,Closed Lost,2025-08-23,22552.83,USD
OPP-00022,C0017,South,Closed Won,2025-12-27,4461.94,GBP
OPP-00023,C0077,Export,Closed Won,2025-01-05,7865.92,EUR
OPP-00024,C0028,South,Closed Won,2025-07-12,21376.18,EUR
OPP-00025,C0083,Central,Closed Won,2025-10-30,40451.49,USD
OPP-00026,C0040,South,Closed Won,2025-12-27,36581.4,EUR
OPP-00027,C0092,South,Closed Won,2025-08-29,11792.13,EUR
OPP-00028,C0111,Central,Closed Won,2025-02-18,96225.75,EUR
