booking_id,source_order_id,booking_month,amount_eur
BK-000001,SO-00427,2025-04,2448.25
BK-000002,SO-00078,2025-12,41757.57
BK-000003,SO-00179,2025-05,47249.59
BK-000004,SO-00031,2025-10,27946.51
BK-000005,SO-00365,2025-02,31929.24
BK-000006,SO-00273,2025-01,31279.3
BK-000007,SO-00158,2025-05,10265.34
BK-000008,SO-00156,2025-01,24789.71
BK-000009,SO-00168,2025-04,65767.86
BK-000010,SO-00177,2025-12,6253.64
BK-000011,SO-00417,2025-05,45115.97
BK-000012,SO-00073,2025-05,12340.33
BK-000013,SO-00199,2025-03,28667.51
BK-000014,SO-00424,2025-04,3416.25
BK-000015,SO-00042,2025-08,8842.3
BK-000016,SO-00145,2025-01,20603.61
BK-000017,SO-00356,2025-07,65026.77
BK-000018,SO-00075,2025-11,86467.28
BK-000019,SO-00011,2025-02,22326.48
BK-000020,SO-00409,2025-08,10298.95
BK-000021,SO-00299,2025-10,26097.85
BK-000022,SO-00224,2025-05,33752.47
BK-000023,SO-00380,2025-05,9895.44
BK-000024,SO-00059,2025-07,111809.44
BK-000025,SO-00144,2025-02,12546.75
BK-000026,SO-00197,2025-08,77769.77
BK-000027,SO-00149,2025-03,43611.37
BK-000028,SO-00394,2025-11,23938.83
BK-000029,SO-00280,2025-01,35397.9
BK-000030,SO-00374,2025-11,57623.7
BK-000031,SO-00130,2025-04,22227.01
BK-000032,SO-00252,2025-12,26769.49
BK-000033,SO-00336,2025-11,12450.76
BK-000034,SO-00096,2025-02,24183.3
BK-000035,SO-00430,2025-05,9610.06
BK-000036,SO-00080,2025-12,18041.47
BK-000037,SO-00211,2025-10,11903.89
BK-000038,SO-00357,2025-07,19152.64
BK-000039,SO-00323,2025-10,34686.52
BK-000040,SO-00431,2025-08,3578.37
BK-000041,SO-00228,2025-04,25451.69
BK-000042,SO-00152,2025-08,17822.79
BK-000043,SO-00082,2025-02,5562.24
BK-000044,SO-00076,2025-03,30460.23
BK-000045,SO-00034,2025-01,10855.96
BK-000046,SO-00121,2025-12,20973.42
BK-000047,SO-00404,2025-04,24640.87
BK-000048,SO-00079,2025-03,142603.25
BK-000049,SO-00239,2025-12,10542.1
BK-000050,SO-00381,2025-07,30868.81
BK-000051,SO-00017,2025-01,7865.92
BK-000052,SO-00268,2025-09,7008.98
BK-000053,SO-00201,2025-01,9586.65
BK-000054,SO-00001,2025-01,42224.55
BK-000055,SO-00021,2025-09,11792.13
BK-000056,SO-00384,2025-10,22746.36
BK-000057,SO-00284,2025-12,29464.78
BK-000058,SO-00060,2025-02,10489.45
BK-000059,SO-00174,2025-06,10630.93
BK-000060,SO-00086,2025-05,26676.57
BK-000061,SO-00196,2025-12,11571.72
BK-000062,SO-00283,2025-12,16946.05
BK-000063,SO-00083,2025-07,14177.21
BK-000064,SO-00093,2025-10,34151.23
BK-000065,SO-00369,2025-04,73460.59
BK-000066,SO-00027,2025-07,24178.87
BK-000067,SO-00397,2025-07,47246.88
BK-000068,SO-00184,2025-12,22056.37
BK-000069,SO-00178,2025-08,13393.26
BK-000070,SO-00045,2025-10,27022.83
BK-000071,SO-00189,2025-02,14170.58
BK-000072,SO-00423,2025-01,2499.78
BK-000073,SO-00108,2025-06,28532.15
BK-000074,SO-00385,2025-06,13547.96
BK-000075,SO-00426,2025-10,1389.71
BK-000076,SO-00277,2025-01,30316.2
BK-000077,SO-00024,2025-01,30906.25
BK-000078,SO-00049,2025-06,10893.39
BK-000079,SO-00286,2025-04,42729.27
BK-000080,SO-00117,2025-07,64378.76
BK-000081,SO-00097,2025-12,30490.51
BK-000082,SO-00383,2025-11,54011.07
BK-000083,SO-00061,2025-03,24058.56
BK-000084,SO-00128,2025-02,29284.82
BK-000085,SO-00026,2025-06,48659.81
BK-000086,SO-00019,2025-10,38044.63
BK-000087,SO-00069,2025-10,39207.53
BK-000088,SO-00136,2025-05,74446.43
BK-000089,SO-00226,2025-11,57478.18
BK-000090,SO-00032,2025-11,18502.38
BK-000091,SO-00088,2025-08,8134.62
BK-000092,SO-00363,2025-08,26765.67
