order_id,crm_opp_ref,customer_code,order_date,net_amount,currency
SO-00001,OPP-00001,C0113,2025-01-12,42224.55,EUR
SO-00002,opp-00002,C0036,2025-07-28,14549.23,EUR
SO-00003,OPP-00004,C0117,2025-04-25,68608.98,USD
SO-00004,OPP-00005,C0116,2025-12-26,30442.7,EUR
SO-00005,OPP-00006,C0087,2025-02-28,100086.61,EUR
SO-00006,OPP-00007,C0089,2025-10-29,33554.41,EUR
SO-00007,OPP-00009,C0028,2025-12-27,126466.08,EUR
SO-00008,OPP-00010,C0045,2025-02-24,7860.38,EUR
SO-00009,OPP-00011,C0030,2025-12-31,97327.75,EUR
SO-00010,OPP-00012,C0008,2025-05-29,90227.39,EUR
SO-00011,OPP-00014,C0070,2025-02-16,22326.48,EUR
SO-00012,OPP-00015,C0100,2025-01-26,29995.44,EUR
SO-00013,OPP-00017,C0103,2025-11-29,116450.06,EUR
SO-00014,OPP-00018,C0050,2025-01-13,32299.61,EUR
SO-00015,,C0101,2025-05-31,7933.03,USD
SO-00016,OPP-00022,C0017,2025-12-30,4461.94,GBP
SO-00017,OPP-00023,C0077,2025-01-21,7865.92,EUR
SO-00018,OPP-00024,C0028,2025-07-15,21376.18,EUR
SO-00019,OPP-00025,C0083,2025-10-31,40451.49,USD
SO-00020,OPP_00026,C0040,2025-12-29,36581.4,EUR
SO-00021,OPP-00027,C0092,2025-09-07,11792.13,EUR
SO-00022,OPP-00028,C0111,2025-02-19,96225.75,EUR
SO-00023,OPP-00029,C0063,2025-12-31,18717.31,EUR
SO-00024,OPP-00031,C0114,2025-01-03,33470.06,USD
SO-00025, OPP-00032 ,C0069,2025-09-23,28294.52,EUR
SO-00026,OPP_00034,C0015,2025-06-22,48659.81,EUR
SO-00027,OPP-00036,C0092,2025-07-11,24178.87,EUR
SO-00028,OPP-00037,C0113,2025-09-30,75888.38,EUR
SO-00029,,C0058,2025-08-17,67284.52,EUR
SO-00030,OPP-00042,C0052,2025-04-19,36597.88,EUR
SO-00031,OPP-00043,C0089,2025-10-31,27946.51,EUR
SO-00032,OPP-00044,C0094,2025-11-30,16230.16,GBP
SO-00033,opp_00045 ,C0082,2025-11-13,23724.7,EUR
SO-00034,OPP-00047,C0001,2025-01-29,10855.96,EUR
SO-00035,opp_00048 ,C0035,2025-11-29,22039.27,EUR
SO-00036,OPP-00050,C0014,2025-02-25,28695.3,EUR
SO-00037,OPP-00053,C0062,2025-02-05,24544.41,EUR
SO-00038,OPP-00054,C0021,2025-10-20,12723.08,USD
SO-00039,OPP-00055,C0095,2025-11-25,34660.13,USD
SO-00040,OPP-00056,C0037,2025-07-23,21331.89,EUR
SO-00041,OPP-00057,C0018,2025-09-30,105420.12,EUR
SO-00042,OPP-00059,C0049,2025-08-16,8842.3,EUR
SO-00043,OPP-00060,C0073,2025-04-18,104408.02,EUR
SO-00044,OPP-00061,C0012,2025-07-28,20549.28,EUR
SO-00045,OPP-00062,C0030,2025-10-17,27022.83,EUR
SO-00046,OPP-00064,C0107,2025-09-23,15589.65,GBP
SO-00047,,C0101,2025-01-27,42869.23,USD
SO-00048,OPP-00066,C0007,2025-07-12,21675.3,EUR
SO-00049,OPP-00067,C0090,2025-06-29,9447.05,GBP
SO-00050,OPP-00068,C0019,2025-09-06,3377.29,EUR
SO-00051,OPP-00070,C0018,2025-09-29,25329.62,EUR
SO-00052,OPP-00071,C0091,2025-07-24,28586.96,EUR
SO-00053,OPP-00071,C0091,2025-07-24,21849.56,EUR
SO-00054,OPP-00073,C0017,2025-04-16,29496.89,GBP
SO-00055,OPP-00074,C0057,2025-04-21,19653.39,EUR
SO-00056,OPP-00075,C0028,2025-03-16,60082.2,EUR
SO-00057,OPP-00076,C0011,2025-11-28,28106.94,EUR
SO-00058,OPP-00077,C0081,2025-09-29,44125.57,EUR
SO-00059,OPP-00078,C0102,2025-07-27,111809.44,EUR
SO-00060,OPP-00079,C0110,2025-02-28,11258.4,USD
SO-00061,OPP-00081,C0047,2025-03-14,24058.56,EUR
SO-00062,OPP-00082,C0083,2025-06-20,25652.95,USD
SO-00063,OPP-00083,C0021,2025-09-30,68550.79,USD
SO-00064,OPP-00086,C0061,2025-09-26,31723.53,EUR
SO-00065,OPP-00087,C0013,2025-12-30,8465.62,EUR
SO-00066,OPP-00088,C0061,2025-10-31,16678.76,EUR
SO-00067,OPP-00088,C0061,2025-10-31,15183.0,EUR
SO-00068,OPP-00089,C0009,2025-10-20,17229.34,EUR
SO-00069,OPP-00090,C0054,2025-10-13,39207.53,EUR
SO-00070,OPP-00093,C0109,2025-03-28,27514.69,EUR
SO-00071,OPP-00094,C0032,2025-09-26,18987.8,USD
SO-00072,OPP-00095,C0050,2025-11-29,20258.13,EUR
SO-00073,OPP-00096,C0054,2025-05-30,12340.33,EUR
SO-00074,OPP-00098,C0097,2025-10-16,24357.56,USD
SO-00075,OPP-00100,C0060,2025-11-13,86467.28,EUR
SO-00076,OPP-00101,C0043,2025-03-19,30460.23,EUR
SO-00077,OPP-00103,C0091,2025-05-31,8152.2,EUR
SO-00078,OPP-00104,C0110,2025-12-24,43853.78,USD
SO-00079,OPP-00105,C0036,2025-03-11,142603.25,EUR
SO-00080, OPP-00107 ,C0114,2025-12-27,18947.14,USD
SO-00081,OPP-00108,C0023,2025-04-25,19512.52,EUR
SO-00082,OPP-00109,C0062,2025-02-09,5562.24,EUR
SO-00083,OPP-00110,C0005,2025-07-25,14177.21,EUR
SO-00084,OPP-00111,C0038,2025-11-28,25851.7,EUR
SO-00085,OPP-00112,C0084,2025-12-13,23038.56,USD
SO-00086,OPP-00113,C0001,2025-05-28,26676.57,EUR
SO-00087,,C0059,2025-05-23,21043.21,GBP
SO-00088,OPP-00115,C0032,2025-08-16,8779.0,USD
SO-00089,OPP-00117,C0104,2025-09-19,23591.23,EUR
SO-00090,OPP-00119,C0004,2025-02-22,13168.25,EUR
SO-00091,OPP-00122,C0031,2025-12-28,93865.47,EUR
SO-00092,OPP-00123,C0098,2025-07-28,36672.48,USD
SO-00093,OPP-00124,C0050,2025-10-14,34151.23,EUR
SO-00094, OPP-00125 ,C0003,2025-08-30,87314.48,USD
SO-00095,OPP-00126,C0015,2025-12-03,31006.68,EUR
SO-00096,OPP-00127,C0021,2025-02-28,25956.1,USD
SO-00097,OPP-00128,C0067,2025-12-15,30490.51,EUR
SO-00098,OPP-00129,C0050,2025-07-13,15958.25,EUR
SO-00099,OPP-00130,C0016,2025-04-30,24689.19,GBP
SO-00100,OPP-00132,C0023,2025-07-29,66246.09,EUR
SO-00101,OPP-00134,C0051,2025-01-31,32113.1,EUR
SO-00102,OPP_00139,C0106,2025-02-28,4142.34,EUR
SO-00103,OPP-00141,C0104,2025-01-12,97359.99,EUR
SO-00104,OPP-00142,C0118,2025-10-28,25202.31,GBP
SO-00105,OPP-00143,C0039,2025-07-26,16398.0,EUR
SO-00106,OPP-00144,C0113,2025-01-26,27495.01,EUR
SO-00107,OPP-00145,C0016,2025-04-28,6933.52,GBP
SO-00108,OPP-00146,C0030,2025-06-26,28532.15,EUR
SO-00109,OPP-00147,C0025,2025-06-17,17864.81,EUR
SO-00110,OPP-00148,C0006,2025-02-28,28116.21,EUR
SO-00111,OPP-00149,C0014,2025-02-24,25024.38,EUR
SO-00112,OPP-00151,C0071,2025-01-30,19891.79,EUR
SO-00113,OPP-00152,C0098,2025-11-22,20213.94,USD
SO-00114,opp_00154 ,C0071,2025-11-12,35340.48,EUR
SO-00115,OPP-00156,C0015,2025-05-23,12665.39,EUR
SO-00116,OPP-00157,C0050,2025-03-21,53700.82,EUR
SO-00117,OPP-00158,C0105,2025-07-21,69870.59,USD
SO-00118,OPP-00160,C0040,2025-07-23,35941.74,EUR
SO-00119,OPP-00161,C0044,2025-02-27,60822.51,EUR
SO-00120,OPP-00162,C0018,2025-02-27,25298.14,EUR
SO-00121,OPP-00164,C0039,2025-12-28,20973.42,EUR
SO-00122,opp_00167 ,C0041,2025-01-29,129319.87,EUR
SO-00123,OPP-00169,C0053,2025-07-31,22492.06,GBP
SO-00124,OPP-00170,C0048,2025-06-16,24976.05,GBP
SO-00125,OPP-00171,C0019,2025-12-26,52351.24,EUR
SO-00126,OPP-00173,C0042,2025-12-28,41872.6,EUR
SO-00127, OPP-00175 ,C0091,2025-08-30,94472.03,EUR
SO-00128,OPP-00176,C0049,2025-02-23,29284.82,EUR
SO-00129,OPP-00177,C0051,2025-05-16,20128.03,EUR
SO-00130,OPP-00178,C0016,2025-04-24,19262.51,GBP
SO-00131,OPP-00179,C0003,2025-02-28,8445.87,USD
SO-00132,OPP-00180,C0081,2025-11-15,21252.24,EUR
SO-00133,OPP-00183,C0074,2025-01-19,61780.56,EUR
SO-00134,OPP-00186,C0103,2025-09-27,28892.81,EUR
SO-00135,OPP-00189,C0092,2025-08-25,70794.56,EUR
SO-00136,,C0035,2025-05-18,74446.43,EUR
SO-00137,opp_00191 ,C0104,2025-05-05,12703.42,EUR
SO-00138,OPP-00194,C0004,2025-06-30,73475.71,EUR
SO-00139,OPP-00196,C0033,2025-06-08,9131.29,USD
SO-00140,OPP-00197,C0051,2025-03-16,39895.36,EUR
SO-00141,OPP-00198,C0120,2025-02-11,20475.14,EUR
SO-00142,OPP-00198,C0120,2025-02-11,17557.11,EUR
SO-00143,OPP-00199,C0039,2025-03-11,38706.48,EUR
SO-00144,OPP-00203,C0110,2025-02-19,13466.51,USD
SO-00145,OPP-00204,C0028,2025-01-30,20603.61,EUR
SO-00146,OPP-00205,C0042,2025-03-27,14386.63,EUR
SO-00147,OPP-00206,C0055,2025-10-21,66297.73,USD
SO-00148,OPP-00207,C0040,2025-10-28,89604.11,EUR
SO-00149,OPP-00208,C0050,2025-03-29,43611.37,EUR
SO-00150,OPP-00209,C0041,2025-03-26,13500.75,EUR
SO-00151,OPP-00209,C0041,2025-03-26,17101.86,EUR
SO-00152,OPP-00210,C0119,2025-08-30,17822.79,EUR
SO-00153,OPP-00210,C0119,2025-08-30,9105.64,EUR
SO-00154,OPP-00211,C0055,2025-03-26,22511.34,USD
