month,currency,rate_to_eur
2025-01,EUR,1.0
2025-01,USD,0.9234
2025-01,GBP,1.1603
2025-02,EUR,1.0
2025-02,USD,0.9317
2025-02,GBP,1.169
2025-03,EUR,1.0
2025-03,USD,0.9099
2025-03,GBP,1.1568
2025-04,EUR,1.0
2025-04,USD,0.9113
2025-04,GBP,1.1539
2025-05,EUR,1.0
2025-05,USD,0.9111
2025-05,GBP,1.146
2025-06,EUR,1.0
2025-06,USD,0.9207
2025-06,GBP,1.1531
2025-07,EUR,1.0
2025-07,USD,0.9214
2025-07,GBP,1.1635
2025-08,EUR,1.0
2025-08,USD,0.9266
2025-08,GBP,1.1555
2025-09,EUR,1.0
2025-09,USD,0.9307
2025-09,GBP,1.1467
2025-10,EUR,1.0
2025-10,USD,0.9405
2025-10,GBP,1.1462
2025-11,EUR,1.0
2025-11,USD,0.9384
2025-11,GBP,1.14
2025-12,EUR,1.0
2025-12,USD,0.9522
2025-12,GBP,1.1386
