issue_type,opp_id,order_id
ref_format,OPP-00002,SO-00002
dwh_missing,OPP-00006,SO-00005
ref_missing,OPP-00019,SO-00015
ref_format,OPP-00026,SO-00020
period_shift,OPP-00027,SO-00021
ref_format,OPP-00032,SO-00025
ref_format,OPP-00034,SO-00026
ref_missing,OPP-00041,SO-00029
dwh_duplicate,OPP-00042,SO-00030
amount_mismatch,OPP-00044,SO-00032
ref_format,OPP-00045,SO-00033
ref_format,OPP-00048,SO-00035
period_shift,OPP-00053,SO-00037
dwh_missing,OPP-00055,SO-00039
dwh_missing,OPP-00056,SO-00040
missing_order,OPP-00058,
amount_mismatch,OPP-00061,SO-00044
ref_missing,OPP-00065,SO-00047
dwh_missing,OPP-00068,SO-00050
split_order,OPP-00071,SO-00052
amount_mismatch,OPP-00076,SO-00057
missing_order,OPP-00080,
dwh_duplicate,OPP-00081,SO-00061
dwh_missing,OPP-00086,SO-00064
split_order,OPP-00088,SO-00066
dwh_duplicate,OPP-00089,SO-00068
amount_mismatch,OPP-00094,SO-00071
amount_mismatch,OPP-00104,SO-00078
ref_format,OPP-00107,SO-00080
dwh_missing,OPP-00108,SO-00081
ref_missing,OPP-00114,SO-00087
amount_mismatch,OPP-00115,SO-00088
dwh_duplicate,OPP-00117,SO-00089
missing_order,OPP-00118,
ref_format,OPP-00125,SO-00094
period_shift,OPP-00126,SO-00095
currency_invoiced,OPP-00128,SO-00097
missing_order,OPP-00131,
ref_format,OPP-00139,SO-00102
dwh_missing,OPP-00145,SO-00107
ref_format,OPP-00154,SO-00114
dwh_missing,OPP-00161,SO-00119
ref_format,OPP-00167,SO-00122
amount_mismatch,OPP-00171,SO-00125
ref_format,OPP-00175,SO-00127
dwh_duplicate,OPP-00176,SO-00128
amount_mismatch,OPP-00178,SO-00130
missing_order,OPP-00184,
amount_mismatch,OPP-00189,SO-00135
ref_missing,OPP-00190,SO-00136
ref_format,OPP-00191,SO-00137
amount_mismatch,OPP-00197,SO-00140
split_order,OPP-00198,SO-00141
amount_mismatch,OPP-00204,SO-00145
split_order,OPP-00209,SO-00150
split_order,OPP-00210,SO-00152
dwh_duplicate,OPP-00216,SO-00158
ref_format,OPP-00223,SO-00164
missing_order,OPP-00229,
amount_mismatch,OPP-00231,SO-00169
