opp_id,order_id,status,account_id,close_month,order_month,crm_amount_eur,erp_amount_eur,diff_eur
OPP-00044,SO-00032,AMOUNT_MISMATCH,C0094,2025-11,2025-11,19290.45,18502.38,-788.07
OPP-00061,SO-00044,AMOUNT_MISMATCH,C0012,2025-07,2025-07,22047.3,20549.28,-1498.02
OPP-00076,SO-00057,AMOUNT_MISMATCH,C0011,2025-11,2025-11,31996.0,28106.94,-3889.06
OPP-00094,SO-00071,AMOUNT_MISMATCH,C0032,2025-09,2025-09,18770.37,17671.95,-1098.42
OPP-00104,SO-00078,AMOUNT_MISMATCH,C0110,2025-12,2025-12,44374.07,41757.57,-2616.5
OPP-00115,SO-00088,AMOUNT_MISMATCH,C0032,2025-08,2025-08,8743.97,8134.62,-609.35
OPP-00171,SO-00125,AMOUNT_MISMATCH,C0019,2025-12,2025-12,58295.22,52351.24,-5943.98
OPP-00178,SO-00130,AMOUNT_MISMATCH,C0016,2025-04,2025-04,23879.1,22227.01,-1652.09
OPP-00189,SO-00135,AMOUNT_MISMATCH,C0092,2025-08,2025-08,75388.51,70794.56,-4593.95
OPP-00197,SO-00140,AMOUNT_MISMATCH,C0051,2025-03,2025-03,46931.89,39895.36,-7036.53
OPP-00204,SO-00145,AMOUNT_MISMATCH,C0028,2025-01,2025-01,23649.02,20603.61,-3045.41
OPP-00231,SO-00169,AMOUNT_MISMATCH,C0047,2025-12,2025-12,15400.61,14345.89,-1054.72
OPP-00269,SO-00194,AMOUNT_MISMATCH,C0065,2025-08,2025-08,30543.89,28789.53,-1754.36
OPP-00343,SO-00245,AMOUNT_MISMATCH,C0067,2025-12,2025-12,11245.01,10807.71,-437.3
OPP-00388,SO-00274,AMOUNT_MISMATCH,C0043,2025-11,2025-11,22804.4,21990.63,-813.77
OPP-00390,SO-00276,AMOUNT_MISMATCH,C0033,2025-04,2025-04,9593.76,9180.84,-412.92
OPP-00403,SO-00286,AMOUNT_MISMATCH,C0085,2025-04,2025-04,45061.59,42729.27,-2332.32
OPP-00445,SO-00314,AMOUNT_MISMATCH,C0105,2025-09,2025-09,115645.68,109565.9,-6079.78
OPP-00463,SO-00328,AMOUNT_MISMATCH,C0019,2025-04,2025-04,27977.55,26254.19,-1723.36
OPP-00473,SO-00334,AMOUNT_MISMATCH,C0030,2025-11,2025-11,80816.39,74348.69,-6467.7
OPP-00506,SO-00361,AMOUNT_MISMATCH,C0082,2025-08,2025-08,88852.89,75572.35,-13280.54
OPP-00532,SO-00377,AMOUNT_MISMATCH,C0011,2025-07,2025-07,75082.44,70531.32,-4551.12
OPP-00535,SO-00378,AMOUNT_MISMATCH,C0097,2025-10,2025-10,40282.04,36498.4,-3783.64
OPP-00550,SO-00386,AMOUNT_MISMATCH,C0038,2025-08,2025-08,31182.28,26538.61,-4643.67
OPP-00561,SO-00396,AMOUNT_MISMATCH,C0072,2025-02,2025-02,33930.83,29020.93,-4909.9
OPP-00564,SO-00397,AMOUNT_MISMATCH,C0089,2025-07,2025-07,52966.12,47246.88,-5719.24
OPP-00584,SO-00409,AMOUNT_MISMATCH,C0020,2025-08,2025-08,11119.84,10298.95,-820.89
OPP-00593,SO-00416,AMOUNT_MISMATCH,C0035,2025-12,2025-12,18472.38,15855.37,-2617.01
OPP-00598,SO-00420,AMOUNT_MISMATCH,C0017,2025-04,2025-04,12062.44,11396.47,-665.97
OPP-00128,SO-00097,FX_EXPLAINED,C0067,2025-12,2025-12,30490.51,30490.51,0.0
OPP-00466,SO-00331,FX_EXPLAINED,C0105,2025-07,2025-07,49906.71,49906.71,0.0
OPP-00001,SO-00001,MATCHED,C0113,2025-01,2025-01,42224.55,42224.55,0.0
OPP-00004,SO-00003,MATCHED,C0117,2025-04,2025-04,62523.36,62523.36,0.0
OPP-00005,SO-00004,MATCHED,C0116,2025-12,2025-12,30442.7,30442.7,0.0
OPP-00006,SO-00005,MATCHED,C0087,2025-02,2025-02,100086.61,100086.61,0.0
OPP-00007,SO-00006,MATCHED,C0089,2025-10,2025-10,33554.41,33554.41,0.0
OPP-00009,SO-00007,MATCHED,C0028,2025-12,2025-12,126466.08,126466.08,0.0
OPP-00010,SO-00008,MATCHED,C0045,2025-02,2025-02,7860.38,7860.38,0.0
OPP-00011,SO-00009,MATCHED,C0030,2025-12,2025-12,97327.75,97327.75,0.0
