order_id,status,order_month,erp_amount_eur,dwh_amount_eur,diff_eur,dwh_rows
SO-00030,DWH_DUPLICATE,2025-04,36597.88,73195.76,36597.88,2
SO-00061,DWH_DUPLICATE,2025-03,24058.56,48117.12,24058.56,2
SO-00068,DWH_DUPLICATE,2025-10,17229.34,34458.68,17229.34,2
SO-00089,DWH_DUPLICATE,2025-09,23591.23,47182.46,23591.23,2
SO-00128,DWH_DUPLICATE,2025-02,29284.82,58569.64,29284.82,2
SO-00158,DWH_DUPLICATE,2025-05,10265.34,20530.68,10265.34,2
SO-00172,DWH_DUPLICATE,2025-08,20692.75,41385.5,20692.75,2
SO-00189,DWH_DUPLICATE,2025-02,14170.58,28341.16,14170.58,2
SO-00197,DWH_DUPLICATE,2025-08,77769.77,155539.54,77769.77,2
SO-00225,DWH_DUPLICATE,2025-02,61258.3,122516.6,61258.3,2
SO-00229,DWH_DUPLICATE,2025-11,16549.36,33098.72,16549.36,2
SO-00238,DWH_DUPLICATE,2025-05,13241.63,26483.26,13241.63,2
SO-00294,DWH_DUPLICATE,2025-04,55032.82,110065.64,55032.82,2
SO-00406,DWH_DUPLICATE,2025-03,24952.43,49904.86,24952.43,2
SO-00001,MATCHED,2025-01,42224.55,42224.55,0.0,1
SO-00002,MATCHED,2025-07,14549.23,14549.23,0.0,1
SO-00003,MATCHED,2025-04,62523.36,62523.36,0.0,1
SO-00004,MATCHED,2025-12,30442.7,30442.7,0.0,1
SO-00006,MATCHED,2025-10,33554.41,33554.41,0.0,1
SO-00007,MATCHED,2025-12,126466.08,126466.08,0.0,1
SO-00008,MATCHED,2025-02,7860.38,7860.38,0.0,1
SO-00009,MATCHED,2025-12,97327.75,97327.75,0.0,1
SO-00010,MATCHED,2025-05,90227.39,90227.39,0.0,1
SO-00011,MATCHED,2025-02,22326.48,22326.48,0.0,1
SO-00012,MATCHED,2025-01,29995.44,29995.44,0.0,1
SO-00013,MATCHED,2025-11,116450.06,116450.06,0.0,1
SO-00014,MATCHED,2025-01,32299.61,32299.61,0.0,1
SO-00015,MATCHED,2025-05,7227.78,7227.78,0.0,1
SO-00016,MATCHED,2025-12,5080.36,5080.36,0.0,1
SO-00017,MATCHED,2025-01,7865.92,7865.92,0.0,1
SO-00018,MATCHED,2025-07,21376.18,21376.18,0.0,1
SO-00019,MATCHED,2025-10,38044.63,38044.63,0.0,1
SO-00020,MATCHED,2025-12,36581.4,36581.4,0.0,1
SO-00021,MATCHED,2025-09,11792.13,11792.13,0.0,1
SO-00022,MATCHED,2025-02,96225.75,96225.75,0.0,1
SO-00023,MATCHED,2025-12,18717.31,18717.31,0.0,1
SO-00024,MATCHED,2025-01,30906.25,30906.25,0.0,1
SO-00025,MATCHED,2025-09,28294.52,28294.52,0.0,1
SO-00026,MATCHED,2025-06,48659.81,48659.81,0.0,1
SO-00027,MATCHED,2025-07,24178.87,24178.87,0.0,1
SO-00028,MATCHED,2025-09,75888.38,75888.38,0.0,1
SO-00029,MATCHED,2025-08,67284.52,67284.52,0.0,1
SO-00031,MATCHED,2025-10,27946.51,27946.51,0.0,1
SO-00032,MATCHED,2025-11,18502.38,18502.38,0.0,1
SO-00033,MATCHED,2025-11,23724.7,23724.7,0.0,1
SO-00034,MATCHED,2025-01,10855.96,10855.96,0.0,1
SO-00035,MATCHED,2025-11,22039.27,22039.27,0.0,1
SO-00036,MATCHED,2025-02,28695.3,28695.3,0.0,1
SO-00037,MATCHED,2025-02,24544.41,24544.41,0.0,1
SO-00038,MATCHED,2025-10,11966.06,11966.06,0.0,1
SO-00041,MATCHED,2025-09,105420.12,105420.12,0.0,1
SO-00042,MATCHED,2025-08,8842.3,8842.3,0.0,1
SO-00043,MATCHED,2025-04,104408.02,104408.02,0.0,1
SO-00044,MATCHED,2025-07,20549.28,20549.28,0.0,1
SO-00045,MATCHED,2025-10,27022.83,27022.83,0.0,1
SO-00046,MATCHED,2025-09,17876.65,17876.65,0.0,1
SO-00047,MATCHED,2025-01,39585.45,39585.45,0.0,1
SO-00048,MATCHED,2025-07,21675.3,21675.3,0.0,1
SO-00049,MATCHED,2025-06,10893.39,10893.39,0.0,1
SO-00051,MATCHED,2025-09,25329.62,25329.62,0.0,1
SO-00052,MATCHED,2025-07,28586.96,28586.96,0.0,1
SO-00053,MATCHED,2025-07,21849.56,21849.56,0.0,1
SO-00054,MATCHED,2025-04,34036.46,34036.46,0.0,1
SO-00055,MATCHED,2025-04,19653.39,19653.39,0.0,1
SO-00056,MATCHED,2025-03,60082.2,60082.2,0.0,1
SO-00057,MATCHED,2025-11,28106.94,28106.94,0.0,1
SO-00058,MATCHED,2025-09,44125.57,44125.57,0.0,1
SO-00059,MATCHED,2025-07,111809.44,111809.44,0.0,1
SO-00060,MATCHED,2025-02,10489.45,10489.45,0.0,1
SO-00062,MATCHED,2025-06,23618.67,23618.67,0.0,1
SO-00063,MATCHED,2025-09,63800.22,63800.22,0.0,1
SO-00065,MATCHED,2025-12,8465.62,8465.62,0.0,1
SO-00066,MATCHED,2025-10,16678.76,16678.76,0.0,1
SO-00067,MATCHED,2025-10,15183.0,15183.0,0.0,1
SO-00069,MATCHED,2025-10,39207.53,39207.53,0.0,1
SO-00070,MATCHED,2025-03,27514.69,27514.69,0.0,1
SO-00071,MATCHED,2025-09,17671.95,17671.95,0.0,1
SO-00072,MATCHED,2025-11,20258.13,20258.13,0.0,1
SO-00073,MATCHED,2025-05,12340.33,12340.33,0.0,1
SO-00074,MATCHED,2025-10,22908.29,22908.29,0.0,1
SO-00075,MATCHED,2025-11,86467.28,86467.28,0.0,1
SO-00076,MATCHED,2025-03,30460.23,30460.23,0.0,1
SO-00077,MATCHED,2025-05,8152.2,8152.2,0.0,1
SO-00078,MATCHED,2025-12,41757.57,41757.57,0.0,1
SO-00079,MATCHED,2025-03,142603.25,142603.25,0.0,1
SO-00080,MATCHED,2025-12,18041.47,18041.47,0.0,1
SO-00082,MATCHED,2025-02,5562.24,5562.24,0.0,1
SO-00083,MATCHED,2025-07,14177.21,14177.21,0.0,1
SO-00084,MATCHED,2025-11,25851.7,25851.7,0.0,1
SO-00085,MATCHED,2025-12,21937.32,21937.32,0.0,1
SO-00086,MATCHED,2025-05,26676.57,26676.57,0.0,1
SO-00087,MATCHED,2025-05,24115.52,24115.52,0.0,1
SO-00088,MATCHED,2025-08,8134.62,8134.62,0.0,1
SO-00090,MATCHED,2025-02,13168.25,13168.25,0.0,1
SO-00091,MATCHED,2025-12,93865.47,93865.47,0.0,1
SO-00092,MATCHED,2025-07,33790.02,33790.02,0.0,1
SO-00093,MATCHED,2025-10,34151.23,34151.23,0.0,1
SO-00094,MATCHED,2025-08,80905.6,80905.6,0.0,1
SO-00095,MATCHED,2025-12,31006.68,31006.68,0.0,1
SO-00096,MATCHED,2025-02,24183.3,24183.3,0.0,1
SO-00097,MATCHED,2025-12,30490.51,30490.51,0.0,1
SO-00098,MATCHED,2025-07,15958.25,15958.25,0.0,1
SO-00099,MATCHED,2025-04,28488.86,28488.86,0.0,1
SO-00100,MATCHED,2025-07,66246.09,66246.09,0.0,1
SO-00101,MATCHED,2025-01,32113.1,32113.1,0.0,1
SO-00102,MATCHED,2025-02,4142.34,4142.34,0.0,1
SO-00103,MATCHED,2025-01,97359.99,97359.99,0.0,1
SO-00104,MATCHED,2025-10,28886.89,28886.89,0.0,1
SO-00105,MATCHED,2025-07,16398.0,16398.0,0.0,1
SO-00106,MATCHED,2025-01,27495.01,27495.01,0.0,1
SO-00108,MATCHED,2025-06,28532.15,28532.15,0.0,1
SO-00109,MATCHED,2025-06,17864.81,17864.81,0.0,1
SO-00110,MATCHED,2025-02,28116.21,28116.21,0.0,1
SO-00111,MATCHED,2025-02,25024.38,25024.38,0.0,1
SO-00112,MATCHED,2025-01,19891.79,19891.79,0.0,1
SO-00113,MATCHED,2025-11,18968.76,18968.76,0.0,1
SO-00114,MATCHED,2025-11,35340.48,35340.48,0.0,1
SO-00115,MATCHED,2025-05,12665.39,12665.39,0.0,1
SO-00116,MATCHED,2025-03,53700.82,53700.82,0.0,1
SO-00117,MATCHED,2025-07,64378.76,64378.76,0.0,1
SO-00118,MATCHED,2025-07,35941.74,35941.74,0.0,1
SO-00120,MATCHED,2025-02,25298.14,25298.14,0.0,1
SO-00121,MATCHED,2025-12,20973.42,20973.42,0.0,1
SO-00122,MATCHED,2025-01,129319.87,129319.87,0.0,1
SO-00123,MATCHED,2025-07,26169.51,26169.51,0.0,1
SO-00124,MATCHED,2025-06,28799.88,28799.88,0.0,1
SO-00125,MATCHED,2025-12,52351.24,52351.24,0.0,1
SO-00126,MATCHED,2025-12,41872.6,41872.6,0.0,1
SO-00127,MATCHED,2025-08,94472.03,94472.03,0.0,1
SO-00129,MATCHED,2025-05,20128.03,20128.03,0.0,1
SO-00130,MATCHED,2025-04,22227.01,22227.01,0.0,1
SO-00131,MATCHED,2025-02,7869.02,7869.02,0.0,1
SO-00132,MATCHED,2025-11,21252.24,21252.24,0.0,1
SO-00133,MATCHED,2025-01,61780.56,61780.56,0.0,1
SO-00134,MATCHED,2025-09,28892.81,28892.81,0.0,1
SO-00135,MATCHED,2025-08,70794.56,70794.56,0.0,1
SO-00136,MATCHED,2025-05,74446.43,74446.43,0.0,1
SO-00137,MATCHED,2025-05,12703.42,12703.42,0.0,1
SO-00138,MATCHED,2025-06,73475.71,73475.71,0.0,1
SO-00139,MATCHED,2025-06,8407.18,8407.18,0.0,1
SO-00140,MATCHED,2025-03,39895.36,39895.36,0.0,1
SO-00141,MATCHED,2025-02,20475.14,20475.14,0.0,1
SO-00142,MATCHED,2025-02,17557.11,17557.11,0.0,1
SO-00143,MATCHED,2025-03,38706.48,38706.48,0.0,1
SO-00144,MATCHED,2025-02,12546.75,12546.75,0.0,1
SO-00145,MATCHED,2025-01,20603.61,20603.61,0.0,1
SO-00146,MATCHED,2025-03,14386.63,14386.63,0.0,1
SO-00147,MATCHED,2025-10,62353.02,62353.02,0.0,1
SO-00148,MATCHED,2025-10,89604.11,89604.11,0.0,1
SO-00149,MATCHED,2025-03,43611.37,43611.37,0.0,1
SO-00150,MATCHED,2025-03,13500.75,13500.75,0.0,1
SO-00151,MATCHED,2025-03,17101.86,17101.86,0.0,1
SO-00152,MATCHED,2025-08,17822.79,17822.79,0.0,1
SO-00153,MATCHED,2025-08,9105.64,9105.64,0.0,1
SO-00154,MATCHED,2025-03,20483.07,20483.07,0.0,1
SO-00155,MATCHED,2025-07,94960.79,94960.79,0.0,1
SO-00156,MATCHED,2025-01,24789.71,24789.71,0.0,1
SO-00157,MATCHED,2025-02,9945.88,9945.88,0.0,1
SO-00159,MATCHED,2025-11,89614.59,89614.59,0.0,1
SO-00160,MATCHED,2025-05,106121.42,106121.42,0.0,1
SO-00161,MATCHED,2025-11,10659.65,10659.65,0.0,1
SO-00162,MATCHED,2025-08,15550.03,15550.03,0.0,1
SO-00163,MATCHED,2025-05,50047.68,50047.68,0.0,1
SO-00164,MATCHED,2025-02,68014.01,68014.01,0.0,1
SO-00165,MATCHED,2025-02,14319.42,14319.42,0.0,1
SO-00166,MATCHED,2025-10,11744.15,11744.15,0.0,1
SO-00167,MATCHED,2025-12,15447.96,15447.96,0.0,1
SO-00168,MATCHED,2025-04,65767.86,65767.86,0.0,1
SO-00169,MATCHED,2025-12,14345.89,14345.89,0.0,1
SO-00170,MATCHED,2025-01,83957.07,83957.07,0.0,1
SO-00171,MATCHED,2025-11,19672.75,19672.75,0.0,1
SO-00173,MATCHED,2025-08,83620.94,83620.94,0.0,1
SO-00174,MATCHED,2025-06,10630.93,10630.93,0.0,1
SO-00175,MATCHED,2025-05,19784.66,19784.66,0.0,1
SO-00176,MATCHED,2025-03,8929.06,8929.06,0.0,1
SO-00177,MATCHED,2025-12,6253.64,6253.64,0.0,1
SO-00178,MATCHED,2025-08,13393.26,13393.26,0.0,1
SO-00179,MATCHED,2025-05,47249.59,47249.59,0.0,1
SO-00180,MATCHED,2025-04,23340.39,23340.39,0.0,1
SO-00181,MATCHED,2025-06,18169.0,18169.0,0.0,1
SO-00182,MATCHED,2025-08,30601.99,30601.99,0.0,1
SO-00184,MATCHED,2025-12,22056.37,22056.37,0.0,1
SO-00186,MATCHED,2025-11,20651.34,20651.34,0.0,1
SO-00188,MATCHED,2025-06,7891.42,7891.42,0.0,1
SO-00190,MATCHED,2025-08,3132.26,3132.26,0.0,1
SO-00191,MATCHED,2025-08,3594.94,3594.94,0.0,1
SO-00192,MATCHED,2025-05,21853.56,21853.56,0.0,1
SO-00193,MATCHED,2025-03,27436.12,27436.12,0.0,1
SO-00194,MATCHED,2025-08,28789.53,28789.53,0.0,1
SO-00195,MATCHED,2025-03,31756.86,31756.86,0.0,1
SO-00196,MATCHED,2025-12,11571.72,11571.72,0.0,1
SO-00198,MATCHED,2025-06,23010.87,23010.87,0.0,1
SO-00199,MATCHED,2025-03,28667.51,28667.51,0.0,1
SO-00200,MATCHED,2025-12,14799.79,14799.79,0.0,1
SO-00201,MATCHED,2025-01,9586.65,9586.65,0.0,1
SO-00202,MATCHED,2025-05,30542.87,30542.87,0.0,1
SO-00203,MATCHED,2025-04,20466.11,20466.11,0.0,1
SO-00204,MATCHED,2025-04,39109.01,39109.01,0.0,1
SO-00205,MATCHED,2025-03,30805.15,30805.15,0.0,1
SO-00206,MATCHED,2025-04,12705.74,12705.74,0.0,1
SO-00207,MATCHED,2025-06,20034.92,20034.92,0.0,1
SO-00208,MATCHED,2025-05,5607.51,5607.51,0.0,1
SO-00209,MATCHED,2025-04,50358.55,50358.55,0.0,1
SO-00210,MATCHED,2025-09,5618.92,5618.92,0.0,1
SO-00211,MATCHED,2025-10,11903.89,11903.89,0.0,1
SO-00212,MATCHED,2025-10,22795.96,22795.96,0.0,1
SO-00213,MATCHED,2025-03,8173.39,8173.39,0.0,1
SO-00214,MATCHED,2025-01,16001.65,16001.65,0.0,1
SO-00215,MATCHED,2025-02,13930.63,13930.63,0.0,1
SO-00216,MATCHED,2025-06,34168.38,34168.38,0.0,1
SO-00217,MATCHED,2025-11,22752.42,22752.42,0.0,1
SO-00218,MATCHED,2025-11,32526.48,32526.48,0.0,1
SO-00219,MATCHED,2025-03,19025.0,19025.0,0.0,1
SO-00220,MATCHED,2025-09,13500.79,13500.79,0.0,1
SO-00221,MATCHED,2025-12,25888.28,25888.28,0.0,1
SO-00222,MATCHED,2025-02,21619.5,21619.5,0.0,1
SO-00224,MATCHED,2025-05,33752.47,33752.47,0.0,1
SO-00226,MATCHED,2025-11,57478.18,57478.18,0.0,1
SO-00227,MATCHED,2025-11,38259.0,38259.0,0.0,1
SO-00228,MATCHED,2025-04,25451.69,25451.69,0.0,1
SO-00230,MATCHED,2025-08,16525.36,16525.36,0.0,1
SO-00231,MATCHED,2025-11,16807.76,16807.76,0.0,1
SO-00232,MATCHED,2025-11,8464.83,8464.83,0.0,1
SO-00233,MATCHED,2025-12,22105.45,22105.45,0.0,1
SO-00234,MATCHED,2025-08,19868.3,19868.3,0.0,1
SO-00235,MATCHED,2025-11,49569.93,49569.93,0.0,1
SO-00236,MATCHED,2025-07,21571.29,21571.29,0.0,1
SO-00237,MATCHED,2025-06,23986.17,23986.17,0.0,1
SO-00239,MATCHED,2025-12,10542.1,10542.1,0.0,1
SO-00240,MATCHED,2025-02,59227.92,59227.92,0.0,1
SO-00241,MATCHED,2025-10,27619.19,27619.19,0.0,1
SO-00242,MATCHED,2025-08,18740.5,18740.5,0.0,1
SO-00243,MATCHED,2025-06,26777.68,26777.68,0.0,1
SO-00244,MATCHED,2025-04,17443.76,17443.76,0.0,1
SO-00245,MATCHED,2025-12,10807.71,10807.71,0.0,1
SO-00246,MATCHED,2025-01,11479.26,11479.26,0.0,1
SO-00247,MATCHED,2025-09,10480.15,10480.15,0.0,1
SO-00248,MATCHED,2025-03,32587.68,32587.68,0.0,1
SO-00250,MATCHED,2025-03,19781.07,19781.07,0.0,1
SO-00251,MATCHED,2025-03,26892.58,26892.58,0.0,1
SO-00252,MATCHED,2025-12,26769.49,26769.49,0.0,1
SO-00253,MATCHED,2025-09,46095.26,46095.26,0.0,1
SO-00254,MATCHED,2025-01,35962.48,35962.48,0.0,1
SO-00255,MATCHED,2025-05,75719.82,75719.82,0.0,1
SO-00256,MATCHED,2025-06,9431.77,9431.77,0.0,1
SO-00257,MATCHED,2025-04,25175.11,25175.11,0.0,1
SO-00258,MATCHED,2025-01,55860.92,55860.92,0.0,1
SO-00259,MATCHED,2025-08,72313.0,72313.0,0.0,1
SO-00260,MATCHED,2025-07,43259.27,43259.27,0.0,1
SO-00261,MATCHED,2025-10,17477.42,17477.42,0.0,1
SO-00262,MATCHED,2025-07,95438.77,95438.77,0.0,1
SO-00263,MATCHED,2025-02,19540.28,19540.28,0.0,1
SO-00264,MATCHED,2025-03,35789.22,35789.22,0.0,1
SO-00265,MATCHED,2025-11,13838.12,13838.12,0.0,1
SO-00266,MATCHED,2025-07,36942.32,36942.32,0.0,1
SO-00267,MATCHED,2025-06,55146.23,55146.23,0.0,1
SO-00268,MATCHED,2025-09,7008.98,7008.98,0.0,1
SO-00269,MATCHED,2025-12,13199.62,13199.62,0.0,1
SO-00270,MATCHED,2025-03,13377.77,13377.77,0.0,1
SO-00271,MATCHED,2025-08,11023.31,11023.31,0.0,1
SO-00272,MATCHED,2025-09,109171.37,109171.37,0.0,1
SO-00273,MATCHED,2025-01,31279.3,31279.3,0.0,1
SO-00274,MATCHED,2025-11,21990.63,21990.63,0.0,1
SO-00275,MATCHED,2025-04,46984.87,46984.87,0.0,1
SO-00276,MATCHED,2025-04,9180.84,9180.84,0.0,1
SO-00277,MATCHED,2025-01,30316.2,30316.2,0.0,1
SO-00278,MATCHED,2025-05,21962.4,21962.4,0.0,1
SO-00280,MATCHED,2025-01,35397.9,35397.9,0.0,1
SO-00281,MATCHED,2025-06,4074.3,4074.3,0.0,1
SO-00282,MATCHED,2025-06,5988.95,5988.95,0.0,1
SO-00283,MATCHED,2025-12,16946.05,16946.05,0.0,1
SO-00284,MATCHED,2025-12,29464.78,29464.78,0.0,1
SO-00285,MATCHED,2025-11,67223.13,67223.13,0.0,1
SO-00286,MATCHED,2025-04,42729.27,42729.27,0.0,1
SO-00287,MATCHED,2025-10,42703.08,42703.08,0.0,1
SO-00288,MATCHED,2025-06,32012.91,32012.91,0.0,1
SO-00289,MATCHED,2025-12,6290.13,6290.13,0.0,1
SO-00290,MATCHED,2025-12,6228.5,6228.5,0.0,1
SO-00291,MATCHED,2025-01,23454.02,23454.02,0.0,1
SO-00292,MATCHED,2025-05,27988.46,27988.46,0.0,1
SO-00293,MATCHED,2025-12,14177.52,14177.52,0.0,1
SO-00295,MATCHED,2025-12,37327.06,37327.06,0.0,1
SO-00296,MATCHED,2025-11,46596.56,46596.56,0.0,1
SO-00297,MATCHED,2025-12,32198.05,32198.05,0.0,1
SO-00298,MATCHED,2025-05,35428.89,35428.89,0.0,1
SO-00299,MATCHED,2025-10,26097.85,26097.85,0.0,1
SO-00300,MATCHED,2025-01,126066.86,126066.86,0.0,1
SO-00301,MATCHED,2025-07,30992.65,30992.65,0.0,1
SO-00302,MATCHED,2025-09,51823.48,51823.48,0.0,1
SO-00304,MATCHED,2025-11,14325.6,14325.6,0.0,1
SO-00305,MATCHED,2025-06,77131.33,77131.33,0.0,1
SO-00307,MATCHED,2025-04,21812.6,21812.6,0.0,1
SO-00308,MATCHED,2025-11,36020.04,36020.04,0.0,1
SO-00310,MATCHED,2025-11,50985.53,50985.53,0.0,1
SO-00311,MATCHED,2025-08,7336.24,7336.24,0.0,1
